STATE,2021,2020,2019,2018,2017
Alabama,2114505785,2013154368,1999354066,1940946609,1792450953
Alaska,279770779,274943211,281024721,273643422,265497418
Arizona,3432250368,3277805285,3254131365,3073218620,2730348482
Arkansas,1098109697,1059399388,1055331776,1041730855,978445584
California,17216108489,17402826342,17607088343,16914871327,15196443886
Colorado,3091341263,3029021998,3024356320,2895845316,2625248858
Connecticut,1902022952,1836628884,1796015030,1868213649,1728442258
Delaware,636449625,621893199,634127089,622026640,565691520
District of Columbia,209490802,209120153,211974142,206529703,189403247
Florida,15512884520,14186993723,14154548923,14069416038,13240713993
Georgia,6712545546,6465440659,6321985028,5982733562,5417493804
Hawaii,421952751,412100250,434124029,430318002,417742177
Idaho,589215922,544722236,528673569,499087622,457118128
Illinois,3949094124,3912172067,3983969642,4019714040,3900408987
Indiana,2206832691,2177385703,2197849700,2166475610,2080772093
lowa,881428491,865301275,879831460,866466688,836798835
Kansas,997729704,962932833,989412296,968572930,911102153
Kentucky,2014415154,2009733646,2048151059,2027132895,1918758650
Louisiana,2936947120,2915148622,3017001548,2974160945,2755956953
Maine,389695136,374306853,379075379,372962507,364067713
Maryland,3145292615,3153047533,3229274730,3149482286,2883869632
Massachusetts,2961044216,2927198776,3001945822,2934073395,2836967911
Michigan,4721283003,5178397010,5646057443,5362856619,4978968570
Minnesota,2054379589,2043537731,2105128709,2077712306,1983882348
Mississippi,1147170938,1072757764,1064395103,1051335808,991563227
Missouri,2265169224,2201618250,2254559841,2194037088,2067940948
Montana,393604122,368695031,363203204,354923718,335856669
Nebraska,686092721,670599740,686144401,674052138,649003253
Nevada,1990374076,1901619500,1898458129,1795870376,1451451701
New Hampshire,426812739,414106949,426309593,415474060,399850791
New Jersey,5255314628,4967121845,5351987950,5280238431,5021001142
New Mexico,884196732,870672963,883549418,857277031,799770032
New York,9336981620,8747875917,8906416690,8764768953,8225581530
North Carolina,3118487092,2989059174,2887979347,2791408823,2546318149
North Dakota,211032960,197837104,201237068,196887973,192765371
Ohio,3608516528,3648610164,3784565337,3759333400,3616304798
Oklahoma,1426034042,1398972906,1408050370,1392274459,1300356145
Oregon,1967176605,1943553809,1999564965,1976470918,1886857989
Pennsylvania,4637002419,4619088231,4821545667,4892624441,4703480187
Rhode Island,648576288,641760276,651754733,627296529,602708158
South Carolina,3048681142,2874790307,2819602979,2697887677,2427689136
South Dakota,242216573,230287551,235381795,230315099,221176018
Tennessee,2494329775,2397008680,2391548643,2327486751,2190708069
Texas,12765238601,12310500833,12815633539,12591951315,11800307523
Utah,1364939120,1279001080,1251464222,1172133724,1057167008
Vermont,161202388,160144434,167214207,167259043,164622133
Virginia,3265493915,3189250804,3264605366,3206964843,3006135080
Washington,3336689678,3277469278,3362426901,3234437415,3065053094
West Virginia,646800927,648169382,673652813,677694461,665277022
Wisconsin,1696833177,1680892922,1743047648,1723610904,1664529033
Wyoming,167634435,160852062,161697814,159027865,155034102
Countrywide,146667392807,142715528701,145256432932,141951234829,132295102461
