STATE,2021,2020,2019,2018,2017
Alabama,558969769,525997170,500642401,481952938,459336321
Alaska,63846826,62199305,60588026,56986761,53348359
Arizona,895055907,824789692,788410124,761826861,706266022
Arkansas,400257115,379483723,361596542,347830399,315548199
California,2133299138,2044712043,2012139473,1944387404,1930026168
Colorado,1122314566,1042112393,971952427,868242394,710208959
Connecticut,302717888,281556998,275458925,276343956,269899245
Delaware,88745340,83399089,79267600,79094424,72891492
District of Columbia,51278504,50084440,48241740,48767810,47902416
Florida,2112803988,1917639279,1832206358,1738902574,1584514950
Georgia,1125059870,1054770592,1015746310,969961617,917892939
Hawaii,82106069,78493880,76886042,76557325,74463259
Idaho,161161639,143881061,133945611,125488207,112961658
Illinois,1055728825,998364670,949494267,926584882,882080818
Indiana,605188759,566520875,550393181,531172216,499316183
lowa,484817844,454980458,431633964,411651628,393902660
Kansas,492456358,462750838,459146448,436341953,410941455
Kentucky,431518819,413843705,407518427,394704879,367896539
Louisiana,584435892,561934348,548908911,534974017,501965530
Maine,112190901,103580043,95809921,92146122,86046009
Maryland,626150120,620283274,605255731,596818085,567119058
Massachusetts,634924339,609188163,607602531,589510024,576773815
Michigan,947739681,879265664,834707411,804462592,769748449
Minnesota,814650655,769780485,748345941,709101070,664446824
Mississippi,385567943,357771829,339603570,335247426,318168986
Missouri,789014266,735295304,721459541,687847773,641048520
Montana,203856836,182049752,174581338,167146965,145209760
Nebraska,330009367,306316718,301138931,286587990,270630830
Nevada,200344244,188341341,186778203,180731829,159723998
New Hampshire,118969368,111637635,109745138,106572464,101819022
New Jersey,673452196,601051014,597881393,590924745,567063267
New Mexico,231318881,226957787,222950123,209400333,189000356
New York,1561185617,1444532421,1401375772,1446769845,1394354563
North Carolina,981143055,900521729,827040076,765167234,652458616
North Dakota,133568837,124451506,124626936,118330491,109231216
Ohio,995719992,956560589,934488198,923242657,884489749
Oklahoma,551837944,519893256,506102785,489662717,436249500
Oregon,289670569,273780802,268232054,255952034,236066288
Pennsylvania,1348691516,1274468304,1254442745,1244246917,1184497062
Rhode Island,86961518,80788395,76028601,74501875,70598179
South Carolina,721729815,681534946,647846009,618057574,579673792
South Dakota,191265470,174525500,168767019,155515895,142879184
Tennessee,732879417,679178884,640290902,609355946,575540597
Texas,4079016427,3810698004,3812787201,3563939165,3116241955
Utah,236022751,216427686,209071708,200610085,182502826
Vermont,62422649,59339691,57986434,57101840,54135506
Virginia,846689029,809883291,799143128,782493429,754900436
Washington,535207794,504458639,495438419,472477728,441922047
West Virginia,237111840,229102843,224563783,222389375,208566018
Wisconsin,647126729,609458398,601055387,557287763,510334539
Wyoming,121702806,111929859,103702354,96014191,86451528
Countrywide,33179905688,31100568311,30203026060,29021386424,26989255667
