STATE,2021,2020,2019,2018,2017
Alabama,926.43,917.61,927.51,906.76,857.56
Alaska,978.96,967.26,991.00,965.45,931.43
Arizona,1073.30,1041.34,1065.01,1048.98,997.63
Arkansas,886.29,878.37,900.36,901.11,849.38
California,1046.74,1047.94,1051.82,1025.07,965.05
Colorado,1190.21,1171.61,1175.48,1133.09,1052.58
Connecticut,1243.06,1228.10,1266.79,1217.06,1168.87
Delaware,1258.20,1250.55,1286.99,1289.62,1224.85
District of Columbia,1434.53,1411.30,1439.99,1429.39,1336.73
Florida,1431.56,1369.13,1414.27,1427.17,1353.35
Georgia,1268.34,1254.06,1264.81,1218.43,1134.31
Hawaii,817.98,807.76,839.70,829.01,804.05
Idaho,741.54,724.63,739.88,722.02,679.02
Illinois,918.72,914.31,940.92,919.14,899.68
Indiana,767.57,765.81,780.69,771.04,747.97
lowa,725.30,707.69,708.56,700.67,675.85
Kansas,815.46,792.93,817.88,806.96,768.41
Kentucky,902.01,908.38,947.49,951.85,910.98
Louisiana,1500.38,1493.17,1560.00,1549.82,1449.44
Maine,712.97,703.99,696.52,687.26,668.06
Maryland,1198.40,1199.37,1231.51,1211.69,1143.99
Massachusetts,1165.14,1169.84,1182.69,1167.16,1136.60
Michigan,1306.32,1420.66,1498.59,1446.43,1361.65
Minnesota,891.63,880.81,892.05,873.48,840.55
Mississippi,1004.03,978.84,977.79,973.74,933.02
Missouri,929.44,908.57,933.54,917.40,872.16
Montana,846.15,834.32,836.46,825.90,784.87
Nebraska,816.44,795.35,807.44,797.43,768.08
Nevada,1264.70,1245.43,1292.58,1262.24,1143.54
New Hampshire,852.14,848.30,864.76,847.79,824.77
New Jersey,1365.71,1332.29,1390.44,1379.68,1351.08
New Mexico,892.51,903.87,932.65,915.74,871.02
New York,1511.04,1438.50,1446.14,1425.22,1351.00
North Carolina,780.19,752.65,753.94,739.49,693.13
North Dakota,691.50,691.37,703.66,687.91,662.12
Ohio,776.24,780.78,806.07,802.02,784.51
Oklahoma,896.01,887.55,913.63,920.32,898.50
Oregon,947.47,951.46,990.24,990.24,962.41
Pennsylvania,968.38,968.94,996.56,995.42,966.22
Rhode Island,1422.42,1387.92,1382.17,1350.00,1300.75
South Carolina,1141.03,1111.43,1115.78,1097.80,1025.21
South Dakota,767.49,738.29,745.21,723.35,696.34
Tennessee,869.86,854.24,864.94,858.37,823.28
Texas,1123.12,1085.40,1143.91,1152.46,1096.92
Utah,951.67,936.73,954.53,941.12,891.07
Vermont,780.45,784.32,783.69,777.86,762.55
Virginia,863.84,845.25,858.75,855.55,821.42
Washington,1029.92,1035.25,1068.26,1035.59,994.89
West Virginia,918.91,914.53,939.04,938.77,914.16
Wisconsin,757.50,747.67,767.65,756.05,732.46
Wyoming,790.21,769.24,776.95,765.80,744.49
Countrywide,1061.54,1046.37,1071.74,1058.10,1008.35
