STATE,2021,2020,2019,2018,2017
Alabama,1087.61,1079.86,1094.34,1071.38,1015.72
Alaska,1122.25,1112.74,1141.81,1111.08,1073.42
Arizona,1201.27,1168.14,1201.08,1183.69,1128.68
Arkansas,1089.32,1078.79,1098.95,1097.84,1040.42
California,1212.81,1216.72,1219.43,1189.68,1116.80
Colorado,1348.30,1329.92,1338.84,1290.63,1197.49
Connecticut,1342.04,1328.67,1349.73,1326.63,1276.45
Delaware,1351.64,1346.87,1387.16,1391.84,1324.96
District of Columbia,1559.42,1542.00,1582.85,1573.99,1468.82
Florida,1517.66,1455.73,1506.11,1521.61,1441.48
Georgia,1432.75,1423.39,1436.55,1387.63,1292.84
Hawaii,928.29,920.01,955.50,944.54,918.74
Idaho,848.44,832.94,849.71,828.28,780.70
Illinois,1001.56,996.18,1018.50,997.42,978.99
Indiana,858.45,859.52,878.16,868.44,844.45
lowa,841.62,822.17,823.53,816.11,795.86
Kansas,990.69,966.45,999.76,986.75,949.67
Kentucky,1040.38,1051.48,1096.30,1101.05,1056.63
Louisiana,1682.79,1683.32,1763.87,1755.08,1643.51
Maine,794.93,789.46,788.94,784.17,765.77
Maryland,1303.66,1310.16,1348.08,1327.11,1247.22
Massachusetts,1235.35,1248.44,1261.84,1246.08,1215.18
Michigan,1416.00,1535.66,1622.75,1575.49,1497.43
Minnesota,986.19,972.91,991.33,972.40,939.43
Mississippi,1173.00,1148.50,1150.84,1153.33,1108.57
Missouri,1063.26,1041.81,1073.65,1055.80,1005.84
Montana,1034.70,1031.40,1039.97,1025.48,974.88
Nebraska,983.01,956.86,974.13,963.31,935.73
Nevada,1381.43,1365.05,1419.65,1387.58,1261.31
New Hampshire,880.79,879.28,899.12,883.56,862.42
New Jersey,1474.31,1440.33,1504.97,1493.96,1465.46
New Mexico,1072.65,1088.32,1122.73,1102.29,1051.65
New York,1634.94,1556.32,1577.48,1559.27,1485.95
North Carolina,909.80,880.36,888.86,876.74,825.94
North Dakota,823.56,843.16,861.32,845.81,813.71
Ohio,852.21,861.27,890.41,888.16,871.16
Oklahoma,1094.66,1085.76,1117.75,1127.04,1104.25
Oregon,1024.83,1030.07,1077.93,1077.20,1045.19
Pennsylvania,1071.26,1075.42,1106.29,1103.41,1069.97
Rhode Island,1588.47,1552.69,1550.70,1517.02,1467.26
South Carolina,1270.77,1242.33,1248.82,1230.72,1149.68
South Dakota,958.72,924.14,932.68,906.65,875.90
Tennessee,1000.70,986.46,1004.15,998.03,960.02
Texas,1343.03,1302.63,1370.28,1372.52,1296.08
Utah,1047.44,1028.38,1051.23,1038.39,985.61
Vermont,845.79,852.56,859.35,856.26,844.56
Virginia,960.58,943.92,966.99,958.17,921.94
Washington,1110.41,1115.80,1154.97,1120.23,1078.52
West Virginia,1064.53.,1064.14,1096.10,1096.83,1072.91
Wisconsin,824.23,816.23,840.82,830.19,805.86
Wyoming,998.36,977.49,985.35,971.07,938.50
Countrywide,1189.50,1175.63,1205.74,1191.56,1136.64
